ID;LON;LAT;NAME;CLASS;STATE;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
30670;-68.7463;-11.0109;Brasiléia;Sede Municipal;ACRE;3438;2629;2531;2094;3497;3216;4046;4352;4546;4067;3775;3698;2802
30670;-68.7442;-11.0293;Epitaciolândia;Sede Municipal;ACRE;3438;2629;2531;2094;3497;3216;4046;4352;4546;4067;3775;3698;2802
30970;-69.5658;-10.9394;Assis Brasil;Sede Municipal;ACRE;3453;2716;2574;2063;3433;3159;3905;4402;4832;4237;3749;3567;2800
31603;-68.4973;-10.652;Xapuri;Sede Municipal;ACRE;3413;2581;2451;2159;3494;3212;4172;4430;4609;4005;3667;3509;2673
31929;-67.6768;-10.5749;Capixaba;Sede Municipal;ACRE;3269;2263;2321;2113;3116;3166;3818;4178;4458;3983;3827;3345;2639
32906;-67.186;-10.3257;Plácido de Castro;Sede Municipal;ACRE;3223;2202;2293;2161;3114;3166;4030;4327;4380;3549;3661;3221;2574
33560;-67.7367;-10.1501;Senador Guiomard;Sede Municipal;ACRE;3252;2243;2391;2007;3096;3065;3927;4208;4482;3998;3772;3305;2529
33567;-67.0531;-10.0755;Acrelândia;Sede Municipal;ACRE;3165;2298;2321;2046;3033;3102;3969;4242;4294;3580;3516;3125;2452
33902;-67.8253;-9.9758;Rio Branco;Capital Estadual;ACRE;3259;2282;2455;2031;3076;3047;3923;4155;4477;4026;3723;3397;2516
34602;-67.9523;-9.834;Bujari;Sede Municipal;ACRE;3287;2344;2495;2031;3053;3156;4044;4280;4512;3898;3780;3351;2500
35335;-67.5408;-9.5942;Porto Acre;Sede Municipal;ACRE;3229;2206;2332;2071;3014;3076;4019;4336;4641;3756;3625;3194;2477
36055;-70.4907;-9.4469;Santa Rosa do Purus;Sede Municipal;ACRE;3338;2598;2649;1957;3106;3282;3955;4420;4864;3985;3504;3235;2503
36796;-71.9482;-9.1969;Jordão;Sede Municipal;ACRE;3385;2735;2826;1767;3148;3277;3958;4298;4923;4168;3567;3364;2590
37207;-68.6718;-9.0639;Sena Madureira;Sede Municipal;ACRE;3190;2302;2551;2066;2784;3026;3829;4164;4569;3828;3517;3141;2500
37924;-72.8002;-8.9394;Marechal Thaumaturgo;Sede Municipal;ACRE;3543;2907;3146;1850;3191;3557;3967;4255;4959;4511;3800;3579;2795
38341;-69.2684;-8.8333;Manoel Urbano;Sede Municipal;ACRE;3220;2291;2647;1935;2916;2933;3817;4279;4765;4040;3536;3081;2407
40234;-72.7542;-8.2636;Porto Walter;Sede Municipal;ACRE;3583;3031;3188;2018;3218;3547;3957;4289;5038;4417;3804;3541;2949
40642;-70.7726;-8.1574;Tarauacá;Sede Municipal;ACRE;3292;2604;2866;2030;2951;3019;3697;4158;4677;4178;3732;3136;2458
40646;-70.3537;-8.1635;Feijó;Sede Municipal;ACRE;3187;2488;2858;1960;2909;2850;3634;4008;4525;3952;3642;2999;2421
42573;-72.6505;-7.7342;Rodrigues Alves;Sede Municipal;ACRE;3434;3022;3180;2011;3048;3398;3827;4017;4805;4175;3587;3337;2797
42962;-72.9002;-7.617;Mâncio Lima;Sede Municipal;ACRE;3482;3060;3149;2099;3050;3429;3822;3991;4901;4136;3739;3458;2947
42965;-72.6761;-7.628;Cruzeiro do Sul;Sede Municipal;ACRE;3389;2984;3090;2015;2980;3400;3775;4045;4680;4035;3557;3316;2794
32868;-36.4343;-10.4064;Piaçabuçu;Sede Municipal;ALAGOAS;4958;5623;5456;5644;4451;3959;3937;3755;4446;4888;5354;5859;6123
33196;-36.5822;-10.2879;Penedo;Sede Municipal;ALAGOAS;4818;5666;5113;5340;4512;3850;3859;3748;4254;4715;5106;5812;5845
33198;-36.3031;-10.2939;Feliz Deserto;Sede Municipal;ALAGOAS;4945;5787;5632;5607;4500;3954;3720;3717;4259;4789;5324;5868;6178
33523;-36.8379;-10.1853;Porto Real do Colégio;Sede Municipal;ALAGOAS;5035;6174;5496;5607;4906;3951;3992;3850;4245;4934;5192;5891;6181
33854;-36.9019;-10.1215;São Brás;Sede Municipal;ALAGOAS;4924;5850;5265;5414;4799;3936;3989;3839;4313;4938;5067;5804;5873
33855;-36.8133;-10.0571;Olho d'Água Grande;Sede Municipal;ALAGOAS;4769;5568;5048;5153;4629;3832;3940;3848;4235;4759;4875;5621;5722
33857;-36.6571;-10.1284;Igreja Nova;Sede Municipal;ALAGOAS;4673;5397;4956;5148;4417;3698;3782;3643;4073;4642;4908;5711;5694
33862;-36.172;-10.1281;Coruripe;Sede Municipal;ALAGOAS;4989;5559;5508;5535;4674;4114;3943;3916;4514;4884;5257;5825;6137
34198;-37.0025;-9.9628;Traipu;Sede Municipal;ALAGOAS;5034;5937;5334;5514;4918;3982;4018;3900;4513;5186;5237;5937;5928
34201;-36.7929;-9.9559;Campo Grande;Sede Municipal;ALAGOAS;4596;5242;4812;5076;4394;3591;3647;3576;3989;4661;4838;5661;5660
34208;-36.0145;-10.0137;Jequiá da Praia;Sede Municipal;ALAGOAS;4952;5535;5491;5684;4700;3982;3773;3751;4350;4893;5284;5789;6192
34550;-36.8319;-9.8845;Girau do Ponciano;Sede Municipal;ALAGOAS;4614;5337;4801;5186;4411;3620;3537;3606;4002;4701;4852;5686;5628
34552;-36.679;-9.8986;Feira Grande;Sede Municipal;ALAGOAS;4566;5352;4745;5025;4430;3647;3534;3461;3928;4593;4742;5658;5674
34553;-36.5501;-9.9319;São Sebastião;Sede Municipal;ALAGOAS;4601;5455;4786;5121;4470;3714;3585;3388;4029;4531;4762;5649;5719
34554;-36.4806;-9.9074;Junqueiro;Sede Municipal;ALAGOAS;4550;5364;4718;5194;4431;3632;3471;3355;3831;4522;4704;5653;5732
34555;-36.358;-9.9094;Teotônio Vilela;Sede Municipal;ALAGOAS;4546;5295;4743;5226;4370;3658;3449;3382;3882;4457;4675;5683;5730
34909;-37.2773;-9.8232;Belo Monte;Sede Municipal;ALAGOAS;4805;5560;5027;5282;4741;3824;3737;3666;4254;4869;4971;5923;5798
34914;-36.7401;-9.8294;Lagoa da Canoa;Sede Municipal;ALAGOAS;4662;5426;4790;5163;4518;3574;3484;3625;4059;4654;4957;5855;5839
34915;-36.6618;-9.7553;Arapiraca;Sede Municipal;ALAGOAS;4614;5400;4749;5145;4475;3580;3449;3531;3992;4583;4843;5771;5853
